#Temps  x  y  z  vx  vy  vz  ax  ay  az
2.413000  0.001303  -0.000734  0.002307  0.090050  -0.054190  0.172210  -3.170000  1.500000  0.950000
2.414000  0.001301  -0.000733  0.002307  0.086880  -0.052690  0.173160  -3.170000  1.500000  0.950000
2.453000  -0.001110  0.000408  0.003029  -0.036750  0.005810  0.210210  -3.170000  1.500000  0.950000
2.455000  -0.001116  0.000411  0.003031  -0.043090  0.008810  0.212110  -3.170000  1.500000  0.950000
2.455000  -0.001116  0.000411  0.003031  -0.043090  0.008810  0.212110  -3.170000  1.500000  0.950000
2.456000  -0.001118  0.000411  0.003032  -0.046260  0.010310  0.213060  -3.170000  1.500000  0.950000
2.457000  -0.001119  0.000409  0.003032  -0.048620  0.005610  0.213280  -2.360000  -4.700000  0.220000
2.491000  -0.002483  -0.002308  0.003159  -0.128860  -0.154190  0.220760  -2.360000  -4.700000  0.220000
2.492000  -0.002484  -0.002310  0.003159  -0.130940  -0.159010  0.221150  -2.080000  -4.820000  0.390000
2.512000  -0.002900  -0.003274  0.003237  -0.172540  -0.255410  0.228950  -2.080000  -4.820000  0.390000
2.513000  -0.002901  -0.003276  0.003237  -0.174620  -0.260230  0.229340  -2.080000  -4.820000  0.390000
2.514000  -0.002902  -0.003279  0.003238  -0.176700  -0.265050  0.229730  -2.080000  -4.820000  0.390000
2.531000  -0.003234  -0.003536  0.003017  -0.215800  -0.295310  0.203720  -2.300000  -1.780000  -1.530000
