#time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
1.8,-0.12,0.64,0.79,-0.30,-0.09,-0.02,-0.35,0.25,-0.08,0.00
1.817,-0.12,0.64,0.79,-0.30,-0.09,-0.02,-0.39,0.34,0.06,0.00
1.818,-0.12,0.64,0.79,1.02,0.82,-0.47,-0.39,0.34,0.06,0.00
1.857,-0.12,0.64,0.79,-0.37,0.26,0.09,-0.39,0.34,0.06,0.00
1.858,-0.12,0.64,0.79,-0.37,0.26,0.09,-0.34,0.37,0.22,0.00
1.859,-0.07,0.67,0.81,-0.37,0.26,0.09,-0.34,0.37,0.22,0.00
1.86,-0.01,0.66,0.79,-0.37,0.26,0.09,-0.34,0.37,0.22,0.00
1.861,-0.02,0.55,0.86,-0.37,0.26,0.09,-0.34,0.37,0.22,0.00
1.9,-0.02,0.55,0.86,-0.37,0.26,0.09,0.42,0.31,0.19,0.00
1.9,-0.02,0.55,0.86,-0.32,0.12,0.20,0.42,0.31,0.19,0.00
1.916,-0.08,0.49,0.86,-0.32,0.12,0.20,0.42,0.31,0.19,0.00
1.917,-0.11,0.85,0.93,-0.32,0.12,0.20,0.42,0.31,0.19,0.00
1.918,-0.30,0.95,0.74,-0.32,0.12,0.20,0.42,0.31,0.19,0.00
1.936,-0.30,0.95,0.74,-0.32,0.12,0.20,1.12,0.39,-0.16,0.00
1.936,-0.30,0.95,0.74,0.62,-0.97,0.89,1.12,0.39,-0.16,0.00
1.976,-0.30,0.95,0.74,0.62,-0.97,0.89,1.31,0.34,0.58,0.00
1.977,-0.37,0.97,0.62,0.62,-0.97,0.89,1.31,0.34,0.58,0.00
1.978,-0.25,0.81,0.62,0.62,-0.97,0.89,1.31,0.34,0.58,0.00
1.979,-0.15,0.65,0.60,0.62,-0.97,0.89,1.31,0.34,0.58,0.00
1.979,-0.15,0.65,0.60,-1.64,2.08,0.52,1.31,0.34,0.58,0.00
2.019,-0.15,0.65,0.60,-1.64,2.08,0.52,0.65,0.28,0.97,0.00
2.02,-0.15,0.65,0.60,-1.80,1.84,0.69,0.65,0.28,0.97,0.00
2.035,-0.02,0.63,0.69,-1.80,1.84,0.69,0.65,0.28,0.97,0.00
