time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,P
2.788,-0.18,0.53,0.87,-0.52,-0.70,0.55,-0.53,-0.56,-0.51,0.00
2.79,-0.13,0.54,0.81,-0.52,-0.70,0.55,-0.53,-0.56,-0.51,0.00
2.79,-0.11,0.55,0.85,-0.52,-0.70,0.55,-0.53,-0.56,-0.51,0.00
2.791,-0.03,0.49,0.72,-0.52,-0.70,0.55,-0.53,-0.56,-0.51,0.00
2.792,-0.03,0.49,0.72,0.42,-0.35,-0.20,-0.53,-0.56,-0.51,0.00
2.828,-0.03,0.49,0.72,0.42,-0.35,-0.20,-1.67,-0.66,-0.72,0.00
2.83,-0.03,0.49,0.72,0.35,0.22,-0.57,-1.67,-0.66,-0.72,0.00
2.847,-0.01,0.47,0.76,0.35,0.22,-0.57,-1.67,-0.66,-0.72,0.00
2.848,-0.12,0.43,0.99,0.35,0.22,-0.57,-1.67,-0.66,-0.72,0.00
2.849,-0.24,0.42,1.09,0.35,0.22,-0.57,-1.67,-0.66,-0.72,0.00
2.867,-0.24,0.42,1.09,0.35,0.22,-0.57,-2.47,-1.19,-1.07,0.00
2.868,-0.24,0.42,1.09,-0.23,0.21,0.47,-2.47,-1.19,-1.07,0.00
